"","Fiscal.Year","sum","aid_millions"
"1",1985,769000,0.769
"2",1986,999000,0.999
"3",1987,1367000,1.367
"4",1988,1167000,1.167
"5",1989,60450000,60.45
"6",1990,90953000,90.953
"7",1991,54587000,54.587
"8",1992,58332000,58.332
"9",1993,30619000,30.619
"10",1994,8600000,8.6
"11",1995,11012610,11.01261
"12",1996,3935000,3.935
"13",1997,69464950,69.46495
"14",1998,68613000,68.613
"15",1999,111124852,111.124852
"16",2000,132539235,132.539235
"17",2001,194235435,194.235435
"18",2002,494273000,494.273
"19",2003,663764700,663.7647
"20",2004,612633978,612.633978
"21",2005,679143941,679.143941
"22",2006,1202470896,1202.470896
"23",2007,336483605,336.483605
"24",2008,620350422,620.350422
"25",2009,723051269,723.051269
"26",2010,485995824,485.995824
"27",2011,242290889,242.290889
"28",2012,248548883,248.548883
"29",2013,150744350,150.74435
"30",2014,180815435,180.815435
"31",2015,376932930,376.93293
"32",2016,200498282,200.498282
"33",2017,205032077,205.032077
"34",2018,96706458,96.706458
"35",2019,86342380,86.34238
"36",2020,89598954,89.598954
"37",2021,169487609,169.487609
"38",2022,178348728,178.348728
"39",2023,145389594,145.389594
