"","Fiscal.Year","sum","aid_tot"
"1",1985,12051000,12.051
"2",1986,12540000,12.54
"3",1987,13359000,13.359
"4",1988,14502000,14.502
"5",1989,71515000,71.515
"6",1990,112049842,112.049842
"7",1991,75561000,75.561
"8",1992,82653000,82.653
"9",1993,81493700,81.4937
"10",1994,30393000,30.393
"11",1995,28507865,28.507865
"12",1996,20936800,20.9368
"13",1997,104837090,104.83709
"14",1998,115920206,115.920206
"15",1999,325516467,325.516467
"16",2000,1168630271,1168.630271
"17",2001,263864035,263.864035
"18",2002,534294274,534.294274
"19",2003,686215162,686.215162
"20",2004,628821603,628.821603
"21",2005,699083181,699.083181
"22",2006,1222386572,1222.386572
"23",2007,378735554,378.735554
"24",2008,715377581,715.377581
"25",2009,863619599,863.619599
"26",2010,794513075,794.513075
"27",2011,396357582,396.357582
"28",2012,697132522,697.132522
"29",2013,253013143,253.013143
"30",2014,563257271,563.257271
"31",2015,839966740,839.96674
"32",2016,322635181,322.635181
"33",2017,531004699,531.004699
"34",2018,516359654,516.359654
"35",2019,799491257,799.491257
"36",2020,813274375,813.274375
"37",2021,746118617,746.118617
"38",2022,677593008,677.593008
"39",2023,595527346,595.527346
"40",2024,34699638,34.699638
