"","x","y","density","hotspot"
"1",-70.0354952171717,12.5204733636364,1289.84476088434,"Oranjestad"
"2",-70.0089999343434,12.5094116545455,528.709593567268,"Oranjestad"
"3",-59.6125247292929,13.096798020202,7374.74764724763,"St.Michael"
"4",-59.6042459616162,13.096798020202,7302.68308387457,"St.Michael"
"5",-79.5203574575758,8.98103793939394,1610.36346375872,"Panama City"
"6",-79.4651476868687,9.01152034848485,353.809949065144,"Panama City"
"7",-64.62081,18.42439,NA,"British Virgin Islands"
"8",-64.78369,32.29488,NA,"Bermuda"
"9",-81.3807,19.29734,NA,"Cayman Islands"
"10",-77.33962,25.07772,NA,"New Providence"
